title,author,genre,image_url,isbn,location_code
Comet in Moominland,"Tove Jansson,Elizabeth Portch",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389287390l/1003725.jpg,713628278,K4-T1-H1-V30
Comet in Moominland,"Tove Jansson,Elizabeth Portch",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389287390l/1003725.jpg,713628278,K4-T1-H1-V31
The Mammoth Book of Arthurian Legends,Mike Ashley,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387735311l/100383.jpg,786705329,K4-T1-H1-V32
The Mammoth Book of Arthurian Legends,Mike Ashley,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387735311l/100383.jpg,786705329,K4-T1-H1-V33
The Plague Lords of Ruel,Joe Dever,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180143437l/1003905.jpg,425132455,K4-T1-H1-V34
The Plague Lords of Ruel,Joe Dever,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180143437l/1003905.jpg,425132455,K4-T1-H1-V35
The Plague Lords of Ruel,Joe Dever,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180143437l/1003905.jpg,425132455,K4-T1-H1-V36
The Plague Lords of Ruel,Joe Dever,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180143437l/1003905.jpg,425132455,K4-T1-H1-V37
"Sir Gawain and the Green Knight, Pearl, Cleanness, Patience","Unknown,J.J. Anderson,A.C. Cawley",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421012613l/100393.jpg,460875108,K4-T1-H1-V38
"Sir Gawain and the Green Knight, Pearl, Cleanness, Patience","Unknown,J.J. Anderson,A.C. Cawley",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421012613l/100393.jpg,460875108,K4-T1-H1-V39
"Sir Gawain and the Green Knight, Pearl, Cleanness, Patience","Unknown,J.J. Anderson,A.C. Cawley",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421012613l/100393.jpg,460875108,K4-T1-H1-V40
"Sir Gawain and the Green Knight, Pearl, Cleanness, Patience","Unknown,J.J. Anderson,A.C. Cawley",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421012613l/100393.jpg,460875108,K4-T1-H1-V41
"Sir Gawain and the Green Knight, Pearl, Cleanness, Patience","Unknown,J.J. Anderson,A.C. Cawley",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421012613l/100393.jpg,460875108,K4-T1-H1-V42
Wizardology,"Master Merlin,Dugald A. Steer",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402805702l/100394.jpg,763628956,K4-T1-H1-V43
Wizardology,"Master Merlin,Dugald A. Steer",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402805702l/100394.jpg,763628956,K4-T1-H1-V44
Wizardology,"Master Merlin,Dugald A. Steer",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402805702l/100394.jpg,763628956,K4-T1-H1-V45
Wizardology,"Master Merlin,Dugald A. Steer",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402805702l/100394.jpg,763628956,K4-T1-H1-V46
Wizardology,"Master Merlin,Dugald A. Steer",Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402805702l/100394.jpg,763628956,K4-T1-H1-V47
The Book of Dragons & Other Mythical Beasts,Joseph Nigg,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348297682l/100410.jpg,764155105,K4-T1-H1-V48
The Book of Dragons & Other Mythical Beasts,Joseph Nigg,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348297682l/100410.jpg,764155105,K4-T1-H1-V49
Day of the Dragon,Richard A. Knaak,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347570993l/100427.jpg,671041525,K4-T1-H1-V50
The Worst Witch Saves the Day,Jill Murphy,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348175406l/1004335.jpg,141314346,K4-T1-H2-V1
The Worst Witch Saves the Day,Jill Murphy,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348175406l/1004335.jpg,141314346,K4-T1-H2-V2
The Worst Witch Saves the Day,Jill Murphy,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348175406l/1004335.jpg,141314346,K4-T1-H2-V3
Wisdom's Kiss,Catherine Gilbert Murdock,Kỳ ảo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517006601l/10043376._SY475_.jpg,547566875,K4-T1-H2-V4
